"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.7041881884026492, 0.6746336880722325, 0.7962264691273275], [0.6435353052936879, 0.6829701587649547, 0.5382538556776733], [0.7421446087749143, 0.5750473256124737, 0.610937474440015]]"
"[[0, 2, 0], [1, 0, 0], [0, 0, 0]]","[[0.6885747364873135, 0, 0.14149812441560622], [0, 0, 0.01264896], [0.03239992241741325, 0.012648702873600004, 0.0]]"
"[[0, 2, 0], [1, 0, 0], [2, 1, 0]]","[[0, 0, 0], [0, 0.0, 0], [0, 0, 0]]"
"[[2, 2, 0], [1, 1, 0], [2, 1, 0]]","[[0, 0, 0.0], [0, 0, 0], [0, 0, 0]]"
"[[2, 2, 1], [1, 1, 0], [2, 1, 2]]","[[0, 0, 0], [0, 0, 0.9999999999999998], [0, 0, 0]]"
"[[2, 2, 1], [1, 1, 1], [2, 1, 2]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[[0, 0, 0], [0, 0, 0], [0, 2, 0]]","[[0.660478507175163, 0.5821449580723369, 0.6715563000680393], [0.49141547355025583, 0.7386598755117971, 0.5490798221970017], [0.5470718166569571, 0, 0.4837132698785184]]"
"[[1, 0, 0], [0, 2, 0], [0, 2, 0]]","[[0, 0.7072934617189187, 0.3691081578237091], [0.37718005086060413, 0, 0.1353427021364506], [0.46384009962305556, 0, -0.2627593420697749]]"
"[[1, 2, 0], [0, 2, 0], [1, 2, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[[0, 0, 2], [0, 0, 0], [0, 0, 0]]","[[0.6745852344862348, 0.329003257787358, 0], [0.6127529523862792, 0.7171892109653043, 0.481743629442114], [0.5277121439002033, 0.40942401329713446, 0.6468368619583351]]"
"[[0, 0, 2], [0, 2, 1], [0, 0, 0]]","[[-0.05622871583340683, -0.36000000000000004, 0], [-0.2, 0, 0], [0.267580169341355, 0.0, -0.2]]"
"[[0, 0, 2], [2, 2, 1], [0, 1, 0]]","[[-0.1461194168644328, -0.2, 0], [0, 0, 0], [0.7654041762673909, 0, 0.0]]"
"[[2, 0, 2], [2, 2, 1], [0, 1, 1]]","[[0, -0.2, 0], [0, 0, 0], [0.5904, 0, 0]]"
"[[2, 1, 2], [2, 2, 1], [2, 1, 1]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[[0, 0, 0], [0, 2, 0], [0, 1, 0]]","[[0.5968708532482071, 0.0, 0], [0.0, 0, 0], [0.0, 0, 0.0]]"
"[[0, 0, 2], [0, 2, 0], [1, 1, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0.2]]"
"[[0, 0, 2], [0, 2, 0], [1, 1, 1]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[[0, 0, 0], [0, 0, 0], [2, 0, 0]]","[[0.6595243075760043, 0.6383067621296398, 0.5120169185629556], [0.4415311246345395, 0.7401682240352363, 0.6147529147953428], [0, 0.5646146216563865, 0.5417917592452528]]"
"[[0, 2, 1], [0, 0, 0], [2, 0, 0]]","[[0.13459176221222163, 0, 0], [0.0, 0.3052427237695147, 0], [0, 0, 0]]"
"[[2, 2, 1], [1, 0, 0], [2, 0, 0]]","[[0, 0, 0], [0, 0.6765135969958941, 0.0], [0, 0, 0]]"
"[[2, 2, 1], [1, 2, 1], [2, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, -0.36000000000000004, 0.9952776335171303]]"
"[[2, 2, 1], [1, 2, 1], [2, 1, 2]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[[0, 2, 0], [0, 0, 1], [2, 0, 0]]","[[0.44837563614652204, 0, 0], [0, 0, 0], [0, 0.0, 0]]"
"[[0, 2, 2], [0, 0, 1], [2, 1, 0]]","[[-0.2, 0, 0], [0.0, 0, 0], [0, 0, 0]]"
"[[1, 2, 2], [0, 2, 1], [2, 1, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]"
